runId,test_id,testcase,bus_protocol,arbitration_scheme,psel_count,wait_state_cfg,retry_limit,parity_mode,baud_rate,fifo_depth,dma_enable,irq_mode,clk_mhz,apb_data_width,addr_width_bits,timeout_us,num_agents,agent_mode,env_mode,test_mode_enabled,reset_cycles,coverage_enable,assertion_enable,uvm_verbosity,debug_mode,error_injection_enable,error_injection_rate,compile_options,sim_options,vendor_ip_rev,lint_waivers,num_transactions,clock_period_ns,test_class,sequence_name,protocol
RUN-000001,backpressure_test-000001,Backpressure,APB3,static,16,0,1,even,230400,8,0,edge,25,16,32,250,1,ACTIVE,stress,0,16,0,1,UVM_HIGH,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto,r2p0,11,96,40.0,backpressure_test,backpressure_seq,APB3+UART
RUN-000002,uart_loopback_test-000002,Uart_Loopback,APB4,static,16,1,0,even,460800,32,1,level,25,16,16,500,1,ACTIVE,functional,1,4,1,1,UVM_LOW,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,11,384,40.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000003,uart_loopback_test-000003,Uart_Loopback,APB3,priority,16,0,0,even,230400,32,1,edge,50,16,32,250,1,PASSIVE,stress,0,8,1,1,UVM_LOW,1,1,0.0395,-O0 -sv -debug,+UVM_TESTNAME=auto,r2p0,10,384,20.0,uart_loopback_test,uart_loopback_seq,APB3+UART
RUN-000004,reset_recovery_test-000004,Reset_Recovery,APB3,round_robin,4,1,4,even,460800,32,0,edge,100,16,32,250,2,ACTIVE,functional,0,8,0,0,UVM_HIGH,0,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto,r1p0,10,384,10.0,reset_recovery_test,reset_recovery_seq,APB3+UART
RUN-000005,parity_stress_test-000005,Parity_Stress,APB4,priority,2,7,0,odd,1500000,8,0,level,200,32,16,250,2,ACTIVE,functional,0,4,0,1,UVM_MEDIUM,1,0,0.0,-O0 -sv -debug,+UVM_TESTNAME=auto,r1p2,3,96,5.0,parity_stress_test,parity_stress_seq,APB4+UART
RUN-000006,reg_sweep_test-000006,Reg_Sweep,APB3,static,2,3,1,none,921600,4,1,edge,50,32,32,250,2,ACTIVE,functional,1,4,0,1,UVM_HIGH,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto -cm line+tgl,r2p0,6,48,20.0,reg_sweep_test,reg_sweep_seq,APB3+UART
RUN-000007,reg_sweep_test-000007,Reg_Sweep,APB4,round_robin,2,7,0,none,921600,32,0,level,100,16,32,50,2,ACTIVE,stress,0,16,0,1,UVM_HIGH,1,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p2,7,384,10.0,reg_sweep_test,reg_sweep_seq,APB4+UART
RUN-000008,reg_sweep_test-000008,Reg_Sweep,APB3,priority,4,2,4,none,460800,4,1,level,50,32,32,250,3,ACTIVE,functional,0,16,0,1,UVM_LOW,1,0,0.0,-O2 -sv -assert svaext,+UVM_TESTNAME=auto,r1p0,0,48,20.0,reg_sweep_test,reg_sweep_seq,APB3+UART
RUN-000009,uart_loopback_test-000009,Uart_Loopback,APB4,round_robin,2,6,0,none,460800,16,1,edge,100,32,32,250,3,ACTIVE,regression,0,16,1,1,UVM_MEDIUM,0,0,0.0,-O2 -sv,+UVM_TESTNAME=auto,r1p0,0,192,10.0,uart_loopback_test,uart_loopback_seq,APB4+UART
RUN-000010,reg_sweep_test-000010,Reg_Sweep,APB3,priority,8,1,1,even,921600,16,0,level,25,32,32,100,1,ACTIVE,stress,0,8,0,0,UVM_MEDIUM,0,1,0.0294,-O0 -sv -debug,+UVM_TESTNAME=auto,r2p0,7,192,40.0,reg_sweep_test,reg_sweep_seq,APB3+UART
